Angle,Intensity
10.00656514,1493
10.01969542,1539
10.03282571,1495
10.04595599,1457
10.05908627,1502
10.07221655,1525
10.08534684,1505
10.09847712,1531
10.1116074,1457
10.12473768,1504
10.13786797,1533
10.15099825,1553
10.16412853,1538
10.17725882,1570
10.1903891,1547
10.20351938,1584
10.21664966,1486
10.22977995,1531
10.24291023,1557
10.25604051,1520
10.26917079,1518
10.28230108,1511
10.29543136,1487
10.30856164,1456
10.32169192,1469
10.33482221,1514
10.34795249,1439
10.36108277,1448
10.37421306,1554
10.38734334,1485
10.40047362,1525
10.4136039,1453
10.42673419,1498
10.43986447,1524
10.45299475,1483
10.46612503,1503
10.47925532,1464
10.4923856,1497
10.50551588,1491
10.51864616,1498
10.53177645,1491
10.54490673,1546
10.55803701,1567
10.5711673,1502
10.58429758,1525
10.59742786,1504
10.61055814,1565
10.62368843,1488
10.63681871,1499
10.64994899,1483
10.66307927,1529
10.67620956,1470
10.68933984,1526
10.70247012,1492
10.71560041,1535
10.72873069,1447
10.74186097,1543
10.75499125,1451
10.76812154,1466
10.78125182,1469
10.7943821,1575
10.80751238,1505
10.82064267,1562
10.83377295,1476
10.84690323,1583
10.86003351,1450
10.8731638,1405
10.88629408,1471
10.89942436,1504
10.91255465,1508
10.92568493,1443
10.93881521,1513
10.95194549,1577
10.96507578,1454
10.97820606,1483
10.99133634,1470
11.00446662,1519
11.01759691,1443
11.03072719,1470
11.04385747,1539
11.05698775,1457
11.07011804,1459
11.08324832,1507
11.0963786,1511
11.10950889,1459
11.12263917,1435
11.13576945,1457
11.14889973,1451
11.16203002,1462
11.1751603,1502
11.18829058,1477
11.20142086,1477
11.21455115,1469
11.22768143,1493
11.24081171,1496
11.25394199,1533
11.26707228,1502
11.28020256,1483
11.29333284,1485
11.30646313,1512
11.31959341,1452
11.33272369,1473
11.34585397,1395
11.35898426,1512
11.37211454,1436
11.38524482,1465
11.3983751,1424
11.41150539,1438
11.42463567,1428
11.43776595,1479
11.45089624,1426
11.46402652,1433
11.4771568,1451
11.49028708,1401
11.50341737,1471
11.51654765,1508
